City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Vila Do Maio,CV,2022-02-05 16:36:16,15.1333,-23.2167,83.19,77,0,12.73
182,Dinguiraye,GN,2022-02-05 16:36:16,11.3,-10.7167,92.86,7,0,4.52
183,Biskamzha,RU,2022-02-05 16:36:16,53.4497,89.5272,10.09,91,94,1.25
184,Yar-Sale,RU,2022-02-05 16:30:39,66.8333,70.8333,-7.98,100,72,3.27
185,Verkhnevilyuysk,RU,2022-02-05 16:36:17,63.4453,120.3167,-18.99,100,97,2.33
186,Eyrarbakki,IS,2022-02-05 16:36:17,63.863,-21.1481,31.24,87,99,11.92
187,Bam,IR,2022-02-05 16:36:18,29.106,58.357,64.87,40,0,10.13
188,Hobyo,SO,2022-02-05 16:36:18,5.3505,48.5268,76.89,70,13,11.74
189,Port Augusta,AU,2022-02-05 16:36:19,-32.5,137.7667,76.71,29,41,13.47
190,Weihai,CN,2022-02-05 16:36:19,37.5017,122.1136,34.25,46,50,23.02
191,Khatanga,RU,2022-02-05 16:29:15,71.9667,102.5,-33.23,100,84,1.63
192,Bilma,NE,2022-02-05 16:36:19,18.6853,12.9164,66.61,16,0,4.41
193,Chimore,BO,2022-02-05 16:36:20,-16.9833,-65.1333,78.87,93,99,3.29
194,Kuala Terengganu,MY,2022-02-05 16:36:20,5.3302,103.1408,82.35,78,40,10.36
195,Sirsa,IN,2022-02-05 16:36:21,29.5333,75.0167,52.02,70,7,6.89
196,Honiara,SB,2022-02-05 16:36:21,-9.4333,159.95,79.47,88,94,2.51
197,Kautokeino,NO,2022-02-05 16:35:25,69.0125,23.0412,23.4,92,99,25.59
198,Vardo,NO,2022-02-05 16:29:06,70.3705,31.1107,26.31,78,100,27.2
199,Marzuq,YE,2022-02-05 16:34:43,14.4,46.4667,69.15,39,20,7.18
200,Southbridge,US,2022-02-05 16:36:22,42.0751,-72.0334,24.48,79,44,1.99
201,Kilrush,IE,2022-02-05 16:36:22,52.6397,-9.4833,50.09,85,100,34.72
202,Alyangula,AU,2022-02-05 16:36:23,-13.8483,136.4192,78.67,100,86,3.44
203,Hirara,JP,2022-02-05 16:33:22,24.8,125.2833,61.12,69,100,21.0
204,Shingu,JP,2022-02-05 16:36:23,33.7333,135.9833,38.91,66,16,11.21
205,Bukachacha,RU,2022-02-05 16:36:23,52.9833,116.9167,-10.35,96,88,4.05
206,Cayenne,GF,2022-02-05 16:36:24,4.9333,-52.3333,86.04,81,20,7.0
